AIN0,AIN1,AIN2,AIN3
355,273,272,271
355,272,272,271
355,273,271,270
355,273,272,271
355,273,271,271
355,273,272,271
355,273,272,270
355,273,271,271
355,273,272,271
355,272,271,271
355,273,272,271
356,272,271,271
356,273,271,271
356,272,271,271
356,273,271,270
356,273,271,271
356,273,271,271
356,272,271,271
356,273,272,270
356,272,271,271
356,273,272,271
356,272,271,271
356,273,272,271
356,272,271,270
356,273,271,271
356,273,271,270
356,272,271,271
356,273,272,270
356,272,271,271
356,273,272,271
356,272,271,270
356,273,272,271
356,272,271,271
357,273,271,271
357,273,272,271
357,273,271,271
356,273,272,271
356,272,271,271
356,273,272,271
356,273,272,271
356,273,271,271
356,273,272,271
356,272,271,271
356,273,272,271
356,272,271,270
356,273,271,271
356,273,272,270
356,272,271,271
356,273,272,271
355,273,271,271
355,272,271,271
355,273,272,270
355,272,271,271
355,273,272,271
355,272,271,271
355,273,272,271
355,273,271,270
355,273,272,271
356,273,272,271
356,273,271,271
356,273,272,271
356,273,271,271
356,274,273,271
357,272,271,271
357,273,271,271
357,273,272,271
357,273,272,271
357,273,272,271
357,274,273,272
357,273,271,271
357,274,273,272
357,273,272,271
357,273,273,272
357,273,272,271
357,273,272,271
357,273,273,271
356,273,272,271
356,273,272,270
355,273,271,271
355,273,272,271
355,273,271,271
355,273,272,271
355,273,272,271
355,273,271,271
355,274,273,271
355,272,271,271
355,273,272,271
355,273,271,271
355,273,272,271
355,273,271,271
356,273,272,271
356,273,272,270
356,273,271,271
356,273,272,271
356,273,271,271
356,273,272,271
356,272,271,271
356,273,273,271
356,273,271,271
356,273,272,271
356,273,272,271
357,273,272,271
357,273,273,271
357,273,272,271
357,274,273,271
357,273,271,271
356,273,273,271
356,272,271,271
356,273,272,271
356,273,271,270
356,273,271,271
355,273,272,271
355,272,271,271
355,273,272,271
355,273,272,270
354,273,272,271
355,273,272,271
355,273,271,271
355,273,272,271
355,272,271,271
355,273,272,271
355,273,271,270
355,273,271,271
355,273,272,271
355,272,271,271
355,273,272,271
356,273,271,270
356,273,272,271
356,273,271,271
356,272,271,271
356,273,273,271
356,272,271,271
356,273,273,271
356,272,271,271
356,273,272,271
356,272,271,271
356,273,272,271
356,273,271,270
356,273,271,271
356,273,272,271
356,273,271,271
356,273,272,271
356,273,271,271
356,273,272,271
356,273,271,271
356,273,273,271
356,273,271,271
356,273,272,271
356,273,272,271
356,273,272,271
356,273,272,271
356,273,271,271
356,274,273,271
356,273,271,271
356,273,272,271
356,273,272,270
356,273,272,271
357,273,272,271
356,272,271,271
356,273,272,271
356,272,271,271
356,273,272,271
356,273,271,271
356,273,271,271
356,272,271,270
356,273,271,271
356,273,272,270
356,272,271,271
356,273,272,270
356,272,271,271
356,273,272,270
356,272,271,271
356,273,272,271
356,272,271,270
356,273,271,271
356,272,271,271
356,273,271,271
356,272,271,270
356,273,271,271
356,272,271,270
356,273,271,271
356,273,271,270
356,272,271,271
356,273,272,270
356,272,271,271
356,273,272,271
356,272,271,271
356,273,271,271
356,272,271,271
356,273,272,270
356,273,272,271
356,272,271,271
357,273,272,271
357,272,271,270
357,273,271,271
357,272,271,271
357,271,271,271
357,273,271,270
357,273,271,271
357,272,271,271
357,272,271,271
357,272,271,270
357,273,271,271
357,273,271,271
357,272,271,271
357,272,271,271
357,272,271,270
357,272,271,271
357,273,271,271
357,272,271,271
357,273,271,270
357,271,271,271
357,271,271,271
358,272,271,270
358,272,271,270
358,272,271,270
358,271,272,270
358,273,271,270
358,272,271,271
359,273,271,270
358,272,271,270
359,272,271,270
359,271,271,270
359,272,271,270
359,272,271,271
359,273,271,270
359,272,271,271
359,272,271,270
359,272,271,270
359,272,271,270
359,272,271,270
359,272,271,270
359,271,271,270
358,271,272,271
358,272,271,270
358,272,271,270
358,271,271,270
359,273,271,271
359,272,271,270
359,272,271,270
359,271,271,271
358,272,271,270
357,272,271,270
357,272,271,270
357,272,271,271
357,272,271,270
357,272,271,270
357,272,271,270
357,272,271,270
357,271,271,270
357,271,271,270
357,271,271,270
357,271,271,270
357,271,271,270
357,271,271,270
357,271,271,270
357,271,271,271
357,272,271,270
357,271,271,270
357,271,271,271
357,272,271,271
357,271,271,271
357,272,271,270
357,271,271,270
357,271,271,270
357,272,271,271
357,271,271,271
357,271,271,269
357,271,271,271
357,271,271,271
357,271,271,271
357,271,271,271
357,271,271,271
357,271,270,271
357,272,271,270
357,272,270,270
358,272,270,270
358,272,271,271
358,272,271,270
358,272,271,270
358,272,271,270
358,271,271,270
358,271,271,269
358,271,271,270
358,271,271,270
358,271,271,270
358,271,271,270
358,271,271,270
358,271,271,270
358,271,271,270
358,271,271,271
358,271,271,271
358,272,270,271
358,272,271,271
358,272,271,270
358,272,271,271
358,272,271,270
358,271,271,271
358,271,271,271
359,273,271,270
359,272,271,270
359,272,271,271
359,271,272,271
359,273,271,270
359,273,271,270
359,271,271,271
359,273,271,270
359,273,271,271
359,272,271,270
359,272,271,270
359,272,271,270
359,271,271,271
359,272,271,271
359,272,271,271
359,272,271,271
359,273,271,270
359,271,271,271
359,271,271,270
359,271,271,270
359,271,271,270
359,271,271,270
359,271,271,270
359,271,271,270
358,271,271,269
358,271,271,269
358,271,271,270
358,272,271,270
358,272,271,270
358,271,270,271
357,272,271,270
357,272,271,270
357,272,271,270
357,272,271,270
357,272,271,269
357,272,271,270
357,271,270,271
357,271,271,270
357,271,271,270
357,271,271,270
357,271,271,270
357,271,271,270
357,271,271,270
357,271,271,270
357,271,271,270
357,271,271,270
357,271,271,270
357,272,271,270
357,271,271,270
357,272,271,270
357,271,271,270
358,271,271,270
358,271,271,270
359,272,270,270
359,271,270,271
359,272,271,270
359,271,270,271
359,272,271,270
360,272,271,270
360,271,271,271
360,272,271,270
360,272,271,271
360,272,271,271
361,273,271,270
361,271,271,270
361,272,271,270
361,271,272,270
361,273,271,270
361,272,270,271
361,272,270,271
362,273,271,271
362,272,271,271
362,272,271,271
362,272,271,271
362,273,271,271
363,272,271,271
363,272,271,271
364,272,271,271
363,272,271,271
363,273,271,271
364,273,271,271
364,273,271,271
364,273,271,271
364,273,271,271
364,271,271,271
364,272,272,271
364,272,272,271
364,272,272,271
364,272,272,271
366,272,272,271
366,273,271,270
366,272,271,271
365,271,271,270
365,271,271,271
365,271,271,270
365,271,271,271
365,271,272,271
365,272,271,270
365,272,271,270
365,271,271,270
365,272,271,270
365,271,271,271
365,273,271,270
365,273,271,270
365,272,271,271
365,272,271,271
364,271,271,271
364,273,271,270
364,271,271,270
364,271,271,270
364,271,271,270
364,271,271,270
365,271,271,270
365,271,271,271
365,272,271,271
366,272,271,270
366,272,271,270
365,272,271,271
365,272,271,271
365,272,271,270
365,271,271,270
365,272,271,271
365,271,271,270
366,272,271,271
366,271,271,270
366,271,271,271
366,272,270,271
366,271,271,270
366,271,271,270
366,271,271,271
366,272,271,271
366,272,270,271
366,272,271,270
366,271,271,270
367,271,271,270
367,271,271,270
367,271,271,270
368,272,271,271
370,272,271,270
370,271,271,270
371,272,271,270
371,271,271,270
371,271,271,270
372,272,271,270
372,271,271,271
372,271,271,271
372,272,271,271
373,272,271,270
373,271,271,270
373,271,271,270
373,271,271,270
372,272,271,270
372,271,271,270
372,271,271,270
371,271,271,271
370,271,270,270
370,271,271,270
370,271,271,270
370,271,271,270
370,272,271,270
370,271,271,270
370,271,271,270
370,272,271,271
370,272,271,270
370,272,271,270
370,272,270,271
370,272,271,270
371,271,271,269
371,271,271,270
370,271,271,271
370,272,271,271
370,272,271,270
370,271,271,269
370,271,271,270
370,271,271,270
370,271,271,270
370,271,271,270
371,272,271,271
371,272,271,270
371,271,271,270
371,271,271,270
371,271,271,271
371,272,270,271
371,272,271,270
371,271,271,270
371,271,271,271
371,272,271,271
371,272,270,270
371,271,271,270
371,271,271,270
371,272,271,270
371,271,271,271
371,272,271,271
371,272,271,271
371,272,271,270
372,272,271,271
372,272,271,270
372,271,271,270
372,271,271,270
371,271,271,271
371,272,270,271
371,272,271,270
371,271,271,270
371,271,271,270
371,271,271,270
372,272,271,271
372,272,271,270
372,272,271,270
372,271,271,270
372,272,271,271
372,272,271,271
372,273,271,271
372,271,271,270
372,271,271,270
372,272,271,270
372,272,271,271
372,272,270,270
371,272,271,270
371,271,271,269
371,271,271,270
371,271,271,270
371,271,271,270
371,271,271,270
370,271,271,271
370,272,271,271
370,271,271,270
370,271,271,271
370,271,271,270
370,271,270,271
370,272,270,270
370,272,271,270
370,271,271,270
370,271,271,270
370,271,271,271
369,272,270,270
369,271,271,270
369,271,271,270
369,271,271,271
369,271,271,270
369,271,271,270
368,271,271,271
368,272,271,270
368,271,271,270
368,271,271,269
368,271,271,270
368,271,271,271
368,272,270,270
368,272,271,270
368,271,271,270
368,271,271,270
368,271,271,270
368,272,271,270
368,271,271,270
368,271,271,269
368,271,271,270
368,271,270,270
368,272,270,270
368,272,270,270
368,271,271,271
368,272,270,270
367,271,271,270
367,271,271,269
367,271,271,270
368,271,271,271
368,272,271,271
368,272,270,270
368,272,271,270
367,271,271,270
367,271,271,270
367,271,271,270
367,271,271,271
367,272,270,270
367,271,271,271
367,271,271,270
367,272,270,271
367,272,271,270
367,271,271,270
367,271,271,270
367,271,271,270
367,271,271,270
367,271,271,270
367,271,271,271
367,271,271,270
367,272,271,270
367,271,271,269
367,271,271,270
367,271,271,270
366,271,271,271
366,272,270,271
366,272,271,270
366,271,271,270
366,272,271,271
366,272,270,271
366,272,271,270
366,272,271,271
366,272,270,270
366,272,271,270
366,271,271,270
366,271,271,270
366,271,271,270
366,272,271,270
366,271,271,270
366,272,271,270
366,271,271,270
366,271,271,270
366,271,271,271
366,272,271,271
366,272,270,271
365,272,271,270
365,271,271,270
365,271,271,270
365,271,271,271
365,272,271,270
365,271,271,270
365,272,271,271
365,272,270,271
365,272,271,270
365,272,271,270
365,271,271,270
365,271,271,270
365,271,271,270
365,272,271,271
365,272,270,270
364,271,271,270
364,271,271,270
364,271,271,270
364,271,271,270
364,271,271,271
364,272,271,270
364,271,271,270
364,271,271,271
364,272,270,271
364,272,271,270
364,271,271,270
364,271,271,270
364,271,270,271
364,272,271,270
363,271,271,270
363,271,271,269
363,271,271,270
363,271,271,271
363,272,271,271
363,272,271,270
363,271,271,270
363,271,271,270
363,271,271,270
363,271,271,270
363,272,271,270
363,271,271,270
363,271,271,270
363,271,271,270
363,272,271,271
363,272,270,271
363,272,271,270
363,271,271,270
363,271,271,270
362,271,271,270
362,271,271,271
362,272,270,271
362,272,270,270
362,272,271,270
362,271,271,270
362,271,271,270
362,271,271,270
362,271,271,271
362,272,270,271
362,272,271,271
362,272,271,270
362,271,271,270
362,271,271,271
362,272,270,271
362,272,271,270
362,272,271,270
362,271,271,271
361,272,271,270
361,271,271,271
361,272,271,271
361,272,270,271
361,272,271,270
361,271,270,270
361,271,271,270
361,271,271,270
361,271,271,270
361,271,271,270
361,272,270,270
361,271,270,270
361,271,271,269
361,271,271,270
361,271,271,270
361,271,271,269
361,271,271,270
360,271,271,270
360,272,271,271
360,272,270,270
360,271,271,270
360,271,271,271
360,271,271,270
360,271,271,269
360,271,271,270
360,271,271,270
360,271,270,270
360,271,270,270
360,271,271,269
360,271,271,269
360,271,271,270
360,271,270,271
360,271,270,270
360,271,271,270
360,271,271,271
360,271,271,270
360,271,271,269
360,271,271,270
360,271,271,271
360,271,271,269
360,271,271,269
360,271,271,270
360,271,271,270
360,272,270,270
360,271,270,270
360,272,270,270
360,271,270,270
360,271,271,269
360,271,271,270
360,271,271,270
360,271,270,271
360,272,270,271
360,272,271,270
360,271,271,269
360,271,271,270
360,271,271,271
360,272,271,271
360,272,271,270
360,271,271,271
360,272,271,270
360,271,271,270
360,271,271,270
360,271,271,271
360,272,271,271
360,272,271,270
360,271,271,269
360,271,271,270
360,271,271,270
360,271,271,270
360,272,271,270
359,271,271,270
359,271,271,270
359,271,270,271
359,272,270,271
359,272,271,270
359,271,271,271
359,272,271,271
359,272,270,271
359,271,271,270
359,271,271,270
359,271,271,270
359,271,271,271
359,272,271,271
359,272,271,270
359,271,271,270
359,271,271,269
360,271,271,270
360,271,271,270
360,271,271,270
359,271,271,270
359,272,271,271
359,272,270,270
359,271,271,270
359,271,271,269
359,271,271,269
359,271,271,270
359,271,270,270
359,271,270,270
359,271,271,270
359,272,271,271
359,272,270,270
359,271,271,270
359,271,271,270
359,271,271,269
359,271,271,270
359,271,271,270
359,271,271,270
359,271,270,270
359,271,271,269
359,271,271,269
359,271,271,270
359,271,271,270
359,271,270,270
359,271,270,270
359,271,270,270
359,271,270,270
359,271,270,270
359,271,270,271
359,271,270,270
359,271,271,269
359,271,271,269
359,271,271,269
359,271,271,270
359,271,271,271
359,271,270,270
359,272,270,271
359,271,270,270
359,271,270,270
359,271,271,269
358,271,271,269
358,271,271,270
358,271,271,270
358,271,271,269
358,271,271,269
358,271,270,270
358,271,271,270
358,271,271,270
358,271,270,270
358,271,270,270
358,271,271,271
358,272,270,270
358,271,270,270
358,271,271,270
358,271,271,270
358,271,271,269
358,271,271,270
358,271,270,269
358,271,271,269
358,271,271,270
358,272,270,270
358,271,271,271
358,272,271,269
358,271,270,271
358,271,271,270
358,271,270,271
358,271,271,270
358,271,271,270
358,271,271,271
358,271,271,271
358,271,271,271
358,271,271,270
358,271,271,270
358,271,271,270
358,271,271,271
358,271,271,270
358,271,271,271
358,272,271,271
358,273,271,270
358,271,271,270
358,271,271,270
358,271,271,270
358,272,271,270
358,271,271,269
358,271,271,270
358,272,271,270
358,272,271,270
358,271,271,269
358,271,271,270
358,272,270,271
358,272,270,270
358,271,271,270
358,271,271,270
358,272,271,271
357,272,271,271
357,272,271,270
357,271,271,270
357,271,271,270
357,271,271,270
357,271,271,271
357,272,271,271
357,272,271,270
357,272,271,270
357,271,271,270
357,271,271,270
357,271,271,270
357,271,271,270
357,271,271,270
357,271,271,271
357,271,271,271
357,272,270,270
357,272,271,270
357,271,271,270
357,271,271,270
357,271,271,270
357,271,271,271
357,272,271,271
357,272,271,270
357,272,271,270
357,271,271,270
357,271,271,270
357,271,271,270
357,272,270,271
357,272,271,271
357,271,271,270
357,272,271,270
357,271,271,271
357,271,271,270
357,272,271,271
357,272,271,271
357,272,271,270
357,271,271,270
357,271,271,270
357,271,271,271
357,271,271,270
357,272,271,271
357,271,271,270
357,271,271,270
357,271,271,270
357,271,271,271
357,272,271,271
357,272,271,270
357,272,271,270
357,271,271,270
357,271,271,270
357,271,271,271
357,272,271,270
357,272,271,270
357,271,271,270
357,271,271,270
357,271,271,270
357,271,271,270
357,272,271,271
356,272,270,271
356,272,271,270
356,271,271,270
356,271,271,270
356,271,271,271
356,272,271,271
356,272,271,271
357,272,270,271
358,272,271,271
358,272,271,270
358,271,271,270
358,271,271,271
358,272,271,270
358,272,271,271
358,273,271,270
358,272,271,271
358,273,271,271
358,273,271,270
358,272,272,270
358,271,271,270
358,271,271,270
357,272,271,271
357,273,271,271
357,272,271,271
357,272,272,271
357,273,271,270
357,272,271,271
357,272,271,271
357,273,271,270
356,271,271,270
356,272,271,271
356,273,271,271
357,272,271,270
357,272,270,270
356,273,271,271
356,273,271,271
356,272,271,270
356,271,271,270
357,271,271,270
356,272,271,270
356,272,271,270
356,271,271,271
356,272,271,270
356,272,271,271
356,272,271,271
356,273,271,270
356,272,272,270
356,272,271,270
356,271,271,270
356,272,271,271
356,272,271,271
356,273,271,271
355,273,272,271
354,272,271,270
354,272,271,270
354,272,271,270
354,272,271,271
354,272,271,271
355,273,271,271
356,273,272,271
355,272,272,270
355,272,271,270
355,271,271,271
355,272,271,271
355,272,271,271
355,273,271,271
355,273,272,271
355,272,272,271
354,272,271,270
355,272,271,271
355,272,271,271
355,273,271,271
357,273,272,271
358,272,272,271
358,272,271,271
357,272,271,271
357,273,271,271
357,273,271,271
357,273,271,271
357,273,271,271
357,273,272,271
356,273,272,270
356,272,271,271
356,273,271,270
356,272,271,271
356,272,271,271
355,273,272,271
355,273,272,271
355,272,271,270
355,272,271,271
355,272,271,271
355,273,272,271
355,273,272,271
355,272,272,270
355,272,271,270
355,272,271,271
355,273,271,271
355,273,272,271
355,273,271,271
355,273,271,271
355,273,271,271
355,273,271,271
355,273,272,271
355,273,272,270
355,272,273,271
355,273,272,271
355,273,272,270
353,273,272,270
353,272,271,271
354,273,273,270
353,273,272,270
354,273,271,271
354,272,271,271
353,272,271,271
354,273,271,271
354,273,272,271
354,273,272,271
353,273,272,270
354,272,272,270
355,272,272,270
355,272,271,271
354,272,272,271
353,272,271,271
354,272,271,271
354,272,271,271
355,273,271,271
354,273,272,271
354,273,273,271
354,273,273,270
354,273,272,270
354,273,272,271
353,273,273,271
354,273,272,270
354,273,272,271
353,273,271,271
353,273,271,271
353,273,272,271
353,274,272,271
353,273,273,271
353,273,273,270
353,272,272,271
353,273,271,271
353,273,271,271
353,273,271,271
353,273,272,271
353,273,272,271
353,273,273,271
353,273,273,271
353,273,272,271
353,273,273,271
353,273,272,271
353,273,272,271
353,273,271,271
353,273,271,271
353,273,272,271
353,273,273,271
353,273,273,270
353,273,272,271
353,272,271,271
353,273,271,271
353,273,271,271
353,274,272,271
354,273,273,271
354,274,273,271
354,273,272,271
354,273,272,271
355,273,273,271
355,273,272,271
355,273,272,271
354,273,271,271
355,273,272,271
354,273,273,271
354,273,273,271
354,273,272,271
354,273,272,271
353,273,272,271
354,273,273,271
354,273,273,271
354,273,272,271
353,273,271,271
353,273,272,271
353,273,273,271
353,273,273,271
353,273,272,271
353,273,271,271
353,273,272,271
353,274,272,271
353,273,273,271
353,273,272,271
353,273,272,271
353,273,273,271
353,273,273,271
353,273,272,271
353,273,271,272
353,273,272,271
353,273,272,272
353,273,271,271
353,273,272,271
353,273,273,271
353,274,273,271
353,273,273,271
353,273,273,272
353,273,272,271
353,273,272,272
353,273,272,271
353,274,273,271
353,273,273,271
353,273,273,271
354,273,273,271
354,273,272,271
353,274,273,271
352,273,273,271
352,273,273,271
352,273,272,272
352,274,272,272
355,274,272,271
355,273,272,272
355,274,272,271
355,274,272,272
354,273,272,271
353,273,272,271
353,273,273,271
352,274,273,271
352,273,273,271
353,273,273,272
354,273,272,271
354,273,272,271
353,273,272,272
354,273,272,272
354,274,273,271
353,274,273,271
354,273,273,272
354,273,272,272
354,273,273,271
353,274,273,272
354,274,273,272
354,274,273,271
354,273,273,272
353,273,273,272
353,273,272,272
353,273,272,271
353,273,273,271
353,274,273,271
353,274,273,271
353,273,273,272
353,273,272,272
352,273,272,272
351,274,272,271
350,274,273,271
350,274,273,271
350,273,273,272
350,273,273,272
350,273,272,272
350,274,272,272
351,273,273,271
351,274,273,271
353,274,274,271
353,273,273,272
352,273,272,272
351,273,273,271
351,273,273,271
351,273,273,272
351,273,273,271
351,273,273,271
351,273,273,272
351,274,272,272
351,274,273,271
351,274,273,271
351,274,273,271
351,273,273,272
351,273,273,272
351,274,272,272
351,274,273,271
351,274,273,271
351,274,273,271
351,273,273,272
351,273,273,273
351,274,272,272
351,274,273,272
352,274,273,271
353,274,274,272
353,273,273,272
353,273,273,271
353,273,273,272
353,273,273,272
353,274,273,273
353,273,272,272
353,274,273,271
353,274,273,271
353,274,273,271
353,273,273,272
352,273,273,272
352,273,272,272
352,274,272,272
352,274,273,271
352,274,273,271
352,274,273,271
352,273,273,271
352,273,273,272
352,274,273,271
352,274,273,271
352,274,273,272
352,274,273,272
352,274,273,272
352,274,273,271
352,274,273,272
352,274,274,272
353,274,273,273
353,274,273,273
353,274,273,272
353,274,274,272
353,274,273,273
353,274,273,273
353,274,273,272
353,274,274,272
353,274,274,273
353,274,273,272
353,274,273,272
353,274,273,273
353,274,273,273
353,274,273,273
353,274,274,272
352,274,274,271
352,274,274,272
352,274,273,272
351,274,274,272
351,274,274,273
351,274,273,273
351,274,274,272
352,274,273,272
352,274,273,273
352,274,273,273
352,274,273,272
352,274,273,272
352,274,273,272
352,274,274,271
352,274,274,272
352,274,273,273
352,274,273,273
351,274,273,272
351,274,273,271
351,274,274,271
351,274,274,272
351,274,273,273
351,274,273,272
351,274,274,273
351,274,273,273
350,274,273,273
350,274,273,273
351,274,274,272
351,274,274,273
351,274,273,273
351,274,273,273
351,274,274,272
351,274,274,272
351,274,274,272
351,274,274,273
352,274,274,273
352,274,273,273
352,274,273,273
352,274,274,273
352,274,273,273
352,274,274,272
352,274,274,273
353,274,274,272
353,274,274,272
353,274,274,273
353,274,274,273
353,274,273,272
352,274,274,272
352,274,274,273
352,274,274,273
352,274,273,273
352,274,273,272
353,274,273,272
353,274,274,272
353,274,274,273
353,274,274,273
352,274,273,273
352,274,274,272
352,274,274,273
351,274,274,273
351,274,273,273
351,274,274,273
351,274,274,273
351,274,274,272
351,275,274,272
351,274,274,273
350,274,274,273
350,274,274,272
350,274,274,273
351,274,274,273
351,274,274,273
351,274,273,273
351,274,274,273
351,275,274,273
351,275,274,273
351,274,274,273
351,274,274,273
351,274,273,273
351,274,273,273
350,274,274,273
350,275,274,272
351,275,274,273
351,275,274,273
351,274,274,273
351,275,274,274
351,274,274,273
351,274,274,273
351,274,274,273
350,274,274,273
350,275,274,273
350,274,274,273
350,274,274,273
351,274,274,273
351,274,274,273
351,274,274,273
351,275,274,273
351,275,274,272
351,275,274,273
351,274,274,273
351,274,274,273
351,274,274,273
351,275,274,273
351,275,274,273
351,275,274,274
351,275,274,273
351,274,274,273
352,274,274,273
352,274,274,274
352,275,274,272
352,275,274,273
352,274,274,272
352,274,274,273
352,274,274,273
352,274,274,273
352,274,274,273
352,275,274,274
352,274,274,273
352,275,274,273
352,275,274,273
352,274,274,273
352,275,274,273
353,275,274,273
353,275,274,273
353,274,274,272
353,274,274,272
353,274,274,272
353,274,274,272
353,274,274,273
353,274,274,273
353,274,273,273
353,274,274,273
353,274,274,273
353,274,274,272
353,274,274,271
353,274,274,273
353,274,273,273
353,274,273,273
353,274,274,273
353,274,273,271
353,274,274,273
353,274,274,273
353,274,273,273
352,274,273,273
352,274,274,273
352,274,273,272
352,274,274,273
352,274,274,272
352,274,273,273
352,274,274,272
352,274,274,273
352,274,274,272
352,275,274,273
353,275,273,273
353,274,273,273
353,274,273,273
353,274,273,273
353,274,273,273
353,274,274,273
353,274,274,272
352,274,274,272
352,274,274,272
352,274,273,273
353,274,273,273
353,274,274,273
353,274,274,273
353,274,273,272
353,274,273,273
353,274,273,272
352,274,273,273
353,274,274,273
353,274,274,273
353,274,273,273
353,274,273,273
353,274,273,273
353,274,274,272
353,274,273,273
353,274,273,273
353,274,273,272
353,274,273,272
353,274,274,272
353,274,274,272
354,274,273,272
354,274,274,273
354,274,273,272
354,274,273,273
354,274,274,272
354,274,273,272
354,274,273,273
354,274,273,273
354,274,273,273
354,274,273,273
354,274,273,273
354,274,274,273
354,274,273,273
354,274,273,272
354,274,273,272
354,274,273,272
354,274,273,272
354,274,273,273
354,274,273,273
354,274,273,273
354,274,273,272
354,274,273,272
354,274,273,272
354,274,273,273
354,274,273,273
354,274,273,273
354,274,273,273
354,274,273,273
354,274,273,271
354,274,273,272
354,274,273,272
354,274,273,272
354,274,273,272
354,274,273,272
354,274,273,272
354,274,274,273
354,274,273,272
354,274,273,272
354,274,273,272
354,274,273,273
354,274,273,272
354,274,274,273
354,274,273,272
354,274,273,273
354,274,273,272
354,274,273,273
355,274,273,272
355,274,273,272
354,274,273,272
354,274,273,272
354,274,273,272
354,274,273,272
355,274,273,272
354,274,273,272
354,274,273,271
354,274,272,272
354,273,272,272
354,274,273,271
354,273,273,272
354,274,273,272
354,274,273,272
354,273,272,272
354,274,273,272
354,273,273,271
354,274,273,271
353,273,273,272
353,274,273,272
353,274,273,272
353,274,273,271
353,274,273,271
353,273,273,271
353,273,273,272
353,274,272,272
352,273,273,272
352,274,273,272
352,273,273,272
352,273,273,271
352,274,272,272
352,274,273,271
352,274,273,272
352,274,273,272
353,274,273,271
353,274,273,272
353,273,273,272
353,273,273,273
353,273,273,271
353,273,273,271
353,274,273,271
354,273,273,272
354,273,273,272
354,274,272,272
354,274,273,272
354,274,273,271
354,274,273,271
354,274,272,272
354,274,273,271
354,274,273,271
354,274,273,271
354,273,273,272
354,273,272,272
354,273,272,271
355,273,273,272
355,273,272,272
355,273,272,271
355,273,273,271
355,273,272,272
355,274,273,271
354,274,273,271
354,274,273,271
354,273,273,272
354,273,273,272
354,273,273,271
354,274,273,272
354,274,272,272
354,273,272,271
354,274,273,271
354,274,273,271
354,273,273,272
354,273,273,272
354,274,272,272
354,274,273,271
354,274,273,271
354,274,273,271
354,274,273,272
354,273,272,272
354,274,273,271
354,274,273,271
354,273,273,271
354,273,273,272
354,274,272,272
354,274,273,272
354,273,273,272
355,273,272,272
355,273,272,271
355,274,273,271
356,273,273,271
356,273,273,271
356,273,272,272
356,273,272,271
357,273,272,271
357,273,273,271
357,273,273,271
357,273,272,272
358,273,271,271
358,273,273,271
358,273,273,271
358,274,273,271
359,273,273,272
359,273,272,272
359,273,273,271
359,274,272,272
359,273,272,272
359,274,273,271
360,274,273,271
360,273,273,271
360,273,273,272
360,273,272,271
360,273,272,271
361,273,272,271
360,274,272,272
361,273,273,271
361,273,273,271
361,273,273,271
361,273,272,271
361,273,272,271
360,273,272,271
359,273,272,271
359,273,273,271
359,273,273,271
360,273,273,271
361,273,272,271
361,273,273,271
362,273,273,271
362,273,272,271
362,273,271,271
362,273,273,271
362,273,272,271
362,273,272,271
